#220307更新
"Bacteria"	"Abditibacteriota"	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium
"Bacteria"	"Firmicutes"	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia
"Bacteria"	"Firmicutes"	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absicoccus
"Bacteria"	"Firmicutes"	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Nevskiales	Salinisphaeraceae	Abyssibacter
"Bacteria"	"Firmicutes"	Bacilli	Caryophanales	Staphylococcaceae	Abyssicoccus
"Bacteria"	"Firmicutes"	Clostridia	Eubacteriales	Lachnospiraceae	Abyssivirga
"Bacteria"	"Acidobacteria"	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter
"Bacteria"	"Actinobacteria"	Actinobacteria	Micrococcales	Micrococcaceae	Acaricomes
"Bacteria"	"Cyanobacteria"	Cyanophyceae	"Synechococcales"	Acaryochloridaceae	Acaryochloris
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Acerihabitans
"Bacteria"	"Firmicutes"	Clostridia	Eubacteriales	Oscillospiraceae	Acetanaerobacterium
"Bacteria"	"Firmicutes"	Clostridia	Eubacteriales	Lachnospiraceae	Acetatifactor
"Bacteria"	"Firmicutes"	Bacilli	Lactobacillales	Lactobacillaceae	Acetilactobacillus
"Bacteria"	"Firmicutes"	Clostridia	Eubacteriales	Lachnospiraceae	Acetitomaculum
"Bacteria"	"Firmicutes"	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio
"Bacteria"	"Firmicutes"	Clostridia	Eubacteriales	Peptostreptococcaceae	Acetoanaerobium
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
"Bacteria"	"Firmicutes"	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium
"Bacteria"	"Bacteroidetes"	Bacteroidia	Bacteroidales	Williamwhitmaniaceae	Acetobacteroides
"Bacteria"	"Bacteroidetes"	Bacteroidia	Bacteroidales	Bacteroidaceae	Acetofilamentum
"Bacteria"	"Firmicutes"	Clostridia	Halanaerobiales	Halobacteroidaceae	Acetohalobium
"Bacteria"	"Synergistetes"	Synergistia	Synergistales	Synergistaceae	Acetomicrobium
"Bacteria"	"Firmicutes"	Negativicutes	Selenomonadales	Sporomusaceae	Acetonema
"Bacteria"	"Bacteroidetes"	Bacteroidia	Bacteroidales	Bacteroidaceae	Acetothermus
"Bacteria"	"Tenericutes"	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Achromatium
"Bacteria"	"Proteobacteria"	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
"Bacteria"	"Cyanobacteria"	Cyanophyceae	Pelonematales	Pelonemataceae	Achroonema
"Bacteria"	"Firmicutes"	Clostridia	Eubacteriales	Clostridiaceae	Acidaminobacter
"Bacteria"	"Firmicutes"	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
"Archaea"	"Crenarchaeota"	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	[Gammaproteobacteria, no order]	[Gammaproteobacteria, no family]	Acidibacter
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidibrevibacterium
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidicaldus
"Bacteria"	"Acidobacteria"	"Acidobacteriia"	Acidobacteriales	Acidobacteriaceae	Acidicapsa
"Bacteria"	"Actinobacteria"	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Acidiferrobacter
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter
"Archaea"	"Crenarchaeota"	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus
"Bacteria"	"Bacteroidetes"	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Acidiluteibacter
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Acidimangrovimonas
"Bacteria"	"Actinobacteria"	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
"Bacteria"	"Acidobacteria"	"Acidobacteriia"	Acidobacteriales	Acidobacteriaceae	Acidipila
"Archaea"	"Euryarchaeota"	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Acidiplasma
"Bacteria"	"Actinobacteria"	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidisoma
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidisphaera
"Bacteria"	"Actinobacteria"	Acidimicrobiia	Acidimicrobiales	[Acidimicrobiales, no family]	Aciditerrimonas
"Bacteria"	"Proteobacteria"	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
"Bacteria"	"Acidobacteria"	"Acidobacteriia"	Acidobacteriales	Acidobacteriaceae	Acidobacterium
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidomonas
"Bacteria"	"Actinobacteria"	Actinobacteria	Acidothermales	Acidothermaceae	Acidothermus
"Bacteria"	"Proteobacteria"	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
"Bacteria"	"Actinobacteria"	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Acrocarpospora
"Bacteria"	"Bacteroidetes"	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Actibacter
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Actibacterium
"Bacteria"	"Proteobacteria"	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Actimicrobium
"Bacteria"	"Actinobacteria"	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
"Bacteria"	"Actinobacteria"	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinobaculum
"Bacteria"	"Actinobacteria"	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinocatenispora
"Bacteria"	"Cyanobacteria"	Cyanophyceae	Oscillatoriales	Phormidiaceae	Actinocephalus
"Bacteria"	"Actinobacteria"	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinocorallia
"Bacteria"	"Actinobacteria"	Actinobacteria	Catenulisporales	Actinospicaceae	Actinocrinis
"Bacteria"	"Actinobacteria"	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinocrispum
"Bacteria"	"Actinobacteria"	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora
"Bacteria"	"Actinobacteria"	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura
"Bacteria"	"Actinobacteria"	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Actinomarinicola
"Bacteria"	"Actinobacteria"	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
"Bacteria"	"Actinobacteria"	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora
"Bacteria"	"Actinobacteria"	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola
"Bacteria"	"Actinobacteria"	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
"Bacteria"	"Actinobacteria"	Actinobacteria	Propionibacteriales	Actinopolymorphaceae	Actinopolymorpha
"Bacteria"	"Actinobacteria"	Actinobacteria	Actinopolysporales	Actinopolysporaceae	Actinopolyspora
"Bacteria"	"Actinobacteria"	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinorectispora
"Bacteria"	"Actinobacteria"	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinorhabdospora
"Bacteria"	"Actinobacteria"	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Actinorugispora
"Bacteria"	"Actinobacteria"	Actinobacteria	Catenulisporales	Actinospicaceae	Actinospica
"Bacteria"	"Actinobacteria"	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema
"Bacteria"	"Actinobacteria"	Actinobacteria	Micrococcales	Cellulomonadaceae	Actinotalea
"Bacteria"	"Actinobacteria"	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinotignum
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Actirhodobacter
"Bacteria"	"Firmicutes"	Clostridia	Eubacteriales	Oscillospiraceae	Acutalibacter
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Hyphomicrobiales	Amorphaceae	Acuticoccus
"Bacteria"	"Bacteroidetes"	Cytophagia	Cytophagales	Hymenobacteraceae	Adhaeribacter
"Bacteria"	"Actinobacteria"	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
"Bacteria"	"Proteobacteria"	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella
"Bacteria"	"Cyanobacteria"	Cyanophyceae	"Synechococcales"	Synechococcaceae	Aegeococcus
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rickettsiales	Ehrlichiaceae	Aegyptianella
"Bacteria"	"Planctomycetes"	Planctomycetia	Pirellulales	Lacipirellulaceae	Aeoliella
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Cellvibrionales	Halieaceae	Aequoribacter
"Bacteria"	"Bacteroidetes"	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aequorivita
"Bacteria"	"Firmicutes"	Bacilli	Caryophanales	Bacillaceae	Aeribacillus
"Bacteria"	"Actinobacteria"	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Aeriscardovia
"Bacteria"	"Firmicutes"	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
"Bacteria"	"Actinobacteria"	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Aerophototrophica
"Archaea"	"Crenarchaeota"	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum
"Bacteria"	"Cyanobacteria"	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Aerosakkonema
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Aerosticca
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aestuariibacter
"Bacteria"	"Bacteroidetes"	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aestuariibaculum
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aestuariibius
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Alteromonadales	[Alteromonadales, no family]	Aestuariicella
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aestuariicoccus
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aestuariihabitans
"Bacteria"	"Actinobacteria"	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Aestuariimicrobium
"Bacteria"	"Bacteroidetes"	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aestuariimonas
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Oceanospirillales	Aestuariirhabdaceae	Aestuariirhabdus
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodospirillales	Kiloniellaceae	Aestuariispira
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Hyphomicrobiales	Aestuariivirgaceae	Aestuariivirga
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aestuariivita
"Bacteria"	"Bacteroidetes"	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aestuariivivens
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aestuarium
"Bacteria"	"Proteobacteria"	Deltaproteobacteria	Myxococcales	Polyangiaceae	Aetherobacter
"Bacteria"	"Cyanobacteria"	Cyanophyceae	Nostocales	Hapalosiphonaceae	Aetokthonos
"Bacteria"	"Cyanobacteria"	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Affixifilum
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Hyphomicrobiales	Afifellaceae	Afifella
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Afipia
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Agaribacter
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Agaribacterium
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Agaricicola
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Agarilytica
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Agarivorans
"Bacteria"	"Firmicutes"	Clostridia	Eubacteriales	Lachnospiraceae	Agathobacter
"Bacteria"	"Firmicutes"	Clostridia	Eubacteriales	Oscillospiraceae	Agathobaculum
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
"Bacteria"	"Chloroflexi"	Anaerolineae	Aggregatilineales	Aggregatilineaceae	Aggregatilinea
"Bacteria"	"Proteobacteria"	Deltaproteobacteria	Myxococcales	Myxococcaceae	Aggregicoccus
"Bacteria"	"Actinobacteria"	Actinobacteria	Micrococcales	Dermatophilaceae	Agilicoccus
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Agitococcus
"Bacteria"	"Cyanobacteria"	Cyanophyceae	"Synechococcales"	Merismopediaceae	Agmenellum
"Bacteria"	"Actinobacteria"	Actinobacteria	Micrococcales	Microbacteriaceae	Agreia
"Bacteria"	"Firmicutes"	Bacilli	Lactobacillales	Lactobacillaceae	Agrilactobacillus
"Bacteria"	"Bacteroidetes"	Chitinophagia	Chitinophagales	Chitinophagaceae	Agriterribacter
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium
"Bacteria"	"Actinobacteria"	Actinobacteria	Micrococcales	Microbacteriaceae	Agrococcus
"Bacteria"	"Actinobacteria"	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Ahniella
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Hyphomicrobiales	Ahrensiaceae	Ahrensia
"Bacteria"	"Firmicutes"	Bacilli	Caryophanales	Bacillaceae	Aidingibacillus
"Bacteria"	"Proteobacteria"	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Aidingimonas
"Bacteria"	"Cyanobacteria"	Cyanophyceae	Nostocales	Rivulariaceae	Ainactis
"Bacteria"	"Verrucomicrobia"	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia
"Bacteria"	"Cyanobacteria"	Cyanophyceae	"Synechococcales"	Leptolyngbyaceae	Albertania
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Albibacillus
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Albibacter
"Bacteria"	"Bacteroidetes"	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Albibacterium
"Bacteria"	"Proteobacteria"	Betaproteobacteria	Burkholderiales	Comamonadaceae	Albidiferax
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Albidovulum
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Albimonas
"Bacteria"	"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Albirhodobacter
